id,model,description,label,split,selected_ai_model,selection_seed,selection_strategy,dataset_revision
06001,MTG-Jamendo,"ambient, blues, piano",0,train,Suno v3.5,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
05501,Suno v3.5,"ambient, blues, piano",1,train,Suno v3.5,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06002,MTG-Jamendo,"ambient, breakbeat, trance",0,train,AudioLDM 2 Music,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
02213,AudioLDM 2 Music,"ambient, breakbeat, trance",1,train,AudioLDM 2 Music,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06003,MTG-Jamendo,"ambient, calm, happy",0,train,MusicGen Medium,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
00811,MusicGen Medium,"ambient, calm, happy",1,train,MusicGen Medium,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06004,MTG-Jamendo,"ambient, calm, soft",0,train,Mustango,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
03004,Mustango,"ambient, calm, soft",1,train,Mustango,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06005,MTG-Jamendo,"ambient, calm, space",0,train,Suno v3.5,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
05505,Suno v3.5,"ambient, calm, space",1,train,Suno v3.5,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06006,MTG-Jamendo,"ambient, chillout, downtempo",0,train,Suno v3.5,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
05506,Suno v3.5,"ambient, chillout, downtempo",1,train,Suno v3.5,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06007,MTG-Jamendo,"ambient, chillout, drums",0,train,Riffusion,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
02678,Riffusion,"ambient, chillout, drums",1,train,Riffusion,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06008,MTG-Jamendo,"ambient, chillout, hiphop",0,train,Riffusion,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
02941,Riffusion,"ambient, chillout, hiphop",1,train,Riffusion,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06009,MTG-Jamendo,"ambient, chillout, piano",0,train,Udio,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
04509,Udio,"ambient, chillout, piano",1,train,Udio,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06011,MTG-Jamendo,"ambient, choir, synthesizer",0,train,Mustango,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
03011,Mustango,"ambient, choir, synthesizer",1,train,Mustango,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06012,MTG-Jamendo,"ambient, dance, synthpop",0,train,Stable Audio v1,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
03512,Stable Audio v1,"ambient, dance, synthpop",1,train,Stable Audio v1,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06015,MTG-Jamendo,"ambient, experimental, orchestral",0,train,Stable Audio v2,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
04015,Stable Audio v2,"ambient, experimental, orchestral",1,train,Stable Audio v2,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06016,MTG-Jamendo,"ambient, experimental, trumpet",0,train,MusicGen Large,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
01092,MusicGen Large,"ambient, experimental, trumpet",1,train,MusicGen Large,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06018,MTG-Jamendo,"ambient, holiday, christmas",0,train,Mustango,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
03018,Mustango,"ambient, holiday, christmas",1,train,Mustango,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06020,MTG-Jamendo,"ambient, jazz, progressive",0,train,AudioLDM 2 Large,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
01765,AudioLDM 2 Large,"ambient, jazz, progressive",1,train,AudioLDM 2 Large,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06021,MTG-Jamendo,"ambient, medieval, guitar",0,train,MusicGen Medium,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
00939,MusicGen Medium,"ambient, medieval, guitar",1,train,MusicGen Medium,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06022,MTG-Jamendo,"ambient, newage, choir",0,train,MusicGen Small,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
00382,MusicGen Small,"ambient, newage, choir",1,train,MusicGen Small,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06023,MTG-Jamendo,"ambient, newage, soundtrack",0,train,Udio,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
04523,Udio,"ambient, newage, soundtrack",1,train,Udio,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06024,MTG-Jamendo,"ambient, orchestral, drums",0,train,AudioLDM 2 Music,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
02395,AudioLDM 2 Music,"ambient, orchestral, drums",1,train,AudioLDM 2 Music,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06025,MTG-Jamendo,"ambient, piano, strings",0,train,Stable Audio v1,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
03525,Stable Audio v1,"ambient, piano, strings",1,train,Stable Audio v1,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06026,MTG-Jamendo,"ambient, postrock, synthesizer",0,train,AudioLDM 2 Music,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
02224,AudioLDM 2 Music,"ambient, postrock, synthesizer",1,train,AudioLDM 2 Music,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06027,MTG-Jamendo,"ambient, rap, dubstep",0,train,AudioLDM 2 Large,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
01792,AudioLDM 2 Large,"ambient, rap, dubstep",1,train,AudioLDM 2 Large,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06028,MTG-Jamendo,"ambient, soundtrack, acousticguitar",0,train,MusicGen Large,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
01200,MusicGen Large,"ambient, soundtrack, acousticguitar",1,train,MusicGen Large,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
06030,MTG-Jamendo,"ambient, soundtrack, dark",0,train,AudioLDM 2 Music,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
02202,AudioLDM 2 Music,"ambient, soundtrack, dark",1,train,AudioLDM 2 Music,42,balanced_generator_group_split_v1,b84d4be5eda830b6eb714998569dba73530f2601
